age,sex,is_closed,has_high_education,relation_status,number_of_relatives,len_of_about,number_of_activities,number_of_books,number_of_friends,number_of_followers,number_of_interests,number_of_groups,number_of_movies,len_of_status,age_hidden
31,0,0,1,4,0,29,1,2,402,809,1,52,8,0,0
34,1,0,1,0,4,7,1,1,164,16,1,23,1,4,0
31,1,0,1,1,1,0,3,1,81,303,7,32,1,0,0
35,1,0,0,0,0,0,0,0,481,56,0,21,0,10,0
34,1,0,0,0,0,0,0,0,169,156,0,47,0,0,0
33,0,0,0,0,0,0,0,0,386,893,0,16,0,4,0
47,1,0,1,0,0,0,1,1,186,44,1,1,1,0,0
58,1,0,0,0,0,0,0,0,350,124,0,12,0,5,0
32,0,0,0,0,0,0,0,0,394,568,0,77,0,0,0
33,1,0,0,0,0,0,0,0,112,75,0,8,0,0,0
32,1,0,1,4,1,16,1,5,341,551,8,27,1,0,0
32,0,0,0,0,0,0,0,0,174,422,0,23,0,0,0
36,0,0,1,0,0,0,1,1,114,70,1,94,1,23,0
33,1,0,1,0,0,0,1,1,111,82,1,4,1,0,0
35,1,0,1,0,0,0,1,1,97,49,1,13,1,0,0
32,0,0,0,0,0,0,0,0,145,365,0,13,0,0,0
32,1,0,0,0,0,0,0,0,142,99,0,8,0,0,0
31,0,0,0,0,0,0,0,0,137,926,0,67,0,12,0
33,1,0,0,0,0,0,0,0,124,206,0,14,0,0,0
31,0,0,1,0,0,0,1,1,306,309,1,72,1,2,0
0,0,0,0,0,0,0,0,0,184,1632,0,36,0,0,1
31,0,0,0,0,0,0,0,0,191,144,0,2,0,0,0
35,0,0,0,0,0,0,0,0,325,168,0,1,0,0,0
36,0,0,0,0,0,0,0,0,225,438,0,41,0,0,0
39,1,0,1,4,0,0,1,1,279,100,4,5,3,0,0
35,0,0,1,4,0,1,1,8,272,256,1,16,4,0,0
35,1,0,0,0,0,0,0,0,152,117,0,9,0,0,0
34,0,0,1,4,4,0,1,1,429,509,6,31,1,0,0
35,1,0,0,0,0,0,0,0,249,215,0,41,0,0,0
0,0,0,0,0,0,0,0,0,273,68,0,15,0,0,1
36,1,0,0,0,0,0,0,0,215,57,0,2,0,0,0
34,1,0,0,0,0,0,0,0,143,120,0,36,0,1,0
31,0,0,0,0,0,0,0,0,787,1068,0,91,0,7,0
39,1,0,0,0,0,0,0,0,145,244,0,10,0,2,0
35,0,0,0,0,0,0,0,0,119,114,0,22,0,0,0
34,1,0,0,0,0,0,0,0,179,157,0,29,0,5,0
34,1,0,1,1,0,2,3,5,651,374,10,14,4,3,0
36,1,0,0,0,0,0,0,0,446,147,0,16,0,0,0
32,1,0,0,0,0,0,0,0,115,170,0,13,0,0,0
33,1,0,0,0,0,0,0,0,96,24,0,6,0,0,0
32,1,0,0,0,0,0,0,0,402,212,0,18,0,0,0
33,1,0,0,0,0,0,0,0,253,417,0,19,0,0,0
33,1,0,0,0,0,0,0,0,626,388,0,130,0,11,0
37,1,0,0,0,0,0,0,0,128,23,0,2,0,0,0
32,0,0,0,0,0,0,0,0,545,854,0,25,0,0,0
0,1,0,1,4,3,0,1,1,262,323,1,45,1,13,1
35,0,0,1,7,3,5,1,8,236,1002,1,72,5,0,0
32,0,0,1,0,2,1,1,11,329,309,1,61,15,0,0
40,0,0,1,4,3,29,1,1,399,902,3,6,1,9,0
32,0,0,0,0,0,0,0,0,225,361,0,15,0,0,0
40,1,0,0,0,0,0,0,0,165,81,0,19,0,0,0
37,1,0,1,4,0,0,1,1,330,200,1,57,1,0,0
34,1,0,0,0,0,0,0,0,395,183,0,65,0,15,0
31,0,0,0,0,0,0,0,0,134,208,0,7,0,0,0
32,0,0,0,0,0,0,0,0,540,668,0,73,0,3,0
31,0,0,1,4,2,0,1,4,220,3145,2,167,1,1,0
31,1,0,0,0,0,0,0,0,169,175,0,17,0,0,0
33,0,0,0,0,0,0,0,0,305,273,0,1,0,3,0
32,0,0,1,4,1,0,1,1,85,95,1,9,1,0,0
31,0,0,0,0,0,0,0,0,627,3123,0,111,0,6,0
0,0,0,0,0,0,0,0,0,182,1126,0,55,0,0,1
33,1,0,1,4,1,4,1,1,445,168,1,36,1,0,0
32,1,0,0,0,0,0,0,0,375,149,0,11,0,0,0
30,1,0,1,4,4,31,3,2,505,335,2,55,6,1,0
32,1,0,1,4,2,37,1,1,249,634,1,160,1,6,0
0,0,0,0,0,0,0,0,0,75,62,0,11,0,0,1
34,1,0,1,4,0,3,2,2,267,119,2,33,3,0,0
31,1,0,1,4,2,0,2,14,1077,16147,7,253,6,0,0
0,1,0,0,0,0,0,0,0,278,171,0,12,0,0,1
0,1,0,0,0,0,0,0,0,532,425,0,41,0,0,1
37,0,0,0,0,0,0,0,0,145,220,0,0,0,0,0
31,1,0,0,0,0,0,0,0,453,492,0,71,0,0,0
33,1,0,0,0,0,0,0,0,387,195,0,32,0,0,0
0,1,0,0,0,0,0,0,0,226,258,0,22,0,0,1
32,1,0,0,0,0,0,0,0,648,222,0,45,0,0,0
34,1,0,0,0,0,0,0,0,161,860,0,92,0,0,0
32,1,0,0,0,0,0,0,0,1333,720,0,143,0,0,0
31,1,0,1,0,0,0,1,1,318,198,1,38,1,0,0
32,0,0,0,0,0,0,0,0,462,453,0,18,0,0,0
31,0,0,1,4,3,6,1,12,485,323,7,11,9,0,0
32,1,0,1,4,1,25,4,3,289,517,7,26,10,18,0
31,1,0,1,1,0,6,2,1,342,1933,5,33,1,4,0
36,0,0,0,0,0,0,0,0,248,196,0,35,0,0,0
33,1,0,1,0,1,0,2,1,201,505,1,126,9,8,0
33,0,0,0,0,0,0,0,0,460,1839,0,34,0,6,0
39,1,0,1,4,0,0,1,1,116,93,1,2,1,7,0
33,1,0,1,4,0,0,8,8,121,1626,9,1896,4,6,0
0,1,0,0,0,0,0,0,0,2955,1425,0,117,0,0,1
31,0,0,1,4,0,0,1,1,150,415,1,41,1,0,0
29,1,0,1,0,0,0,1,7,536,144,5,19,5,0,0
31,1,0,1,0,0,0,1,6,118,57,2,14,7,0,0
32,1,0,0,0,0,0,0,0,221,118,0,17,0,0,0
32,0,0,1,4,0,0,1,1,194,716,1,50,1,8,0
35,1,0,0,0,0,0,0,0,235,747,0,138,0,10,0
0,0,0,0,0,0,0,0,0,383,2332,0,291,0,0,1
32,1,0,1,0,0,3,4,5,117,71,2,3,5,0,0
34,1,0,0,0,0,0,0,0,132,172,0,20,0,9,0
31,0,0,0,0,0,0,0,0,360,246,0,16,0,0,0
32,1,0,0,0,0,0,0,0,443,191,0,47,0,0,0
31,1,0,0,0,0,0,0,0,308,322,0,18,0,0,0
35,1,0,1,4,0,0,1,1,521,204,3,1,4,0,0
35,1,0,0,0,0,0,0,0,401,465,0,57,0,0,0
36,0,0,1,0,2,0,1,1,324,844,1,44,1,0,0
34,1,0,0,0,0,0,0,0,350,92,0,4,0,3,0
52,0,0,0,0,0,0,0,0,217,188,0,17,0,9,0
31,0,0,0,0,0,0,0,0,348,263,0,5,0,0,0
32,1,0,0,0,0,0,0,0,326,145,0,27,0,0,0
31,1,0,0,0,0,0,0,0,202,1187,0,262,0,0,0
35,0,0,0,0,0,0,0,0,810,859,0,79,0,5,0
0,0,0,1,0,2,0,1,1,475,559,1,54,1,0,1
33,1,0,0,0,0,0,0,0,549,191,0,62,0,0,0
0,0,0,0,0,0,0,0,0,227,202,0,7,0,0,1
33,1,0,0,0,0,0,0,0,293,130,0,20,0,0,0
34,0,0,1,0,1,26,1,4,315,149,1,13,2,6,0
31,0,0,0,0,0,0,0,0,189,816,0,48,0,11,0
31,1,0,0,0,0,0,0,0,169,148,0,24,0,0,0
33,0,0,0,0,0,0,0,0,190,331,0,29,0,0,0
33,1,0,0,0,0,0,0,0,207,268,0,39,0,17,0
36,1,0,0,0,0,0,0,0,135,114,0,48,0,1,0
33,1,0,0,0,0,0,0,0,273,236,0,18,0,0,0
31,1,0,0,0,0,0,0,0,135,60,0,6,0,0,0
38,1,0,0,0,0,0,0,0,568,941,0,138,0,0,0
32,0,0,0,0,0,0,0,0,181,511,0,40,0,0,0
0,1,0,1,4,0,6,1,1,8,104,1,27,1,2,1
32,1,0,0,0,0,0,0,0,144,807,0,11,0,6,0
31,1,0,0,0,0,0,0,0,313,166,0,33,0,0,0
0,0,0,1,4,3,83,1,1,235,0,6,9,23,11,1
33,1,0,0,0,0,0,0,0,382,147,0,1,0,0,0
36,1,0,0,0,0,0,0,0,965,774,0,122,0,0,0
32,0,0,1,0,0,145,4,2,67,53,22,1,7,0,0
33,1,0,0,0,0,0,0,0,651,211,0,23,0,0,0
0,1,0,0,0,0,0,0,0,179,75,0,4,0,0,1
32,1,0,1,4,1,0,1,1,156,370,1,12,1,0,0
30,1,0,1,0,2,5,1,3,431,512,2,139,1,8,0
0,0,0,1,4,3,13,1,2,381,568,37,57,2,0,1
0,1,0,0,0,0,0,0,0,46,99,0,26,0,0,1
33,0,0,0,0,0,0,0,0,317,1082,0,26,0,0,0
36,1,0,1,4,2,0,1,1,53,64,1,11,1,0,0
35,1,0,1,0,1,0,1,5,261,69,7,4,9,0,0
0,1,0,0,0,0,0,0,0,8829,6957,0,339,0,0,1
32,0,0,0,0,0,0,0,0,274,12,0,3,0,0,0
35,1,0,1,0,0,21,1,7,140,90,1,31,9,0,0
0,1,0,1,0,0,0,1,1,60,19,1,2,1,0,1
0,0,0,0,0,0,0,0,0,477,180,0,8,0,2,1
34,0,0,0,0,0,0,0,0,410,564,0,97,0,9,0
32,1,0,1,0,0,50,1,1,525,202,1,23,1,0,0
32,0,0,0,0,0,0,0,0,272,933,0,131,0,0,0
31,0,0,1,0,0,19,1,1,792,2498,1,150,1,0,0
34,1,0,0,0,0,0,0,0,123,129,0,14,0,0,0
33,0,0,1,4,1,0,1,1,113,202,1,30,1,0,0
30,0,0,0,0,0,0,0,0,150,340,0,85,0,0,0
0,0,0,0,0,0,0,0,0,287,1405,0,78,0,6,1
31,1,0,1,0,0,5,1,14,100,193,1,81,5,0,0
34,0,0,0,0,0,0,0,0,516,1223,0,182,0,4,0
35,1,0,1,0,0,21,1,5,240,59,1,44,6,0,0
34,0,0,0,0,0,0,0,0,383,279,0,14,0,0,0
32,0,0,0,0,0,0,0,0,88,315,0,16,0,3,0
33,1,0,0,0,0,0,0,0,252,162,0,40,0,0,0
36,1,0,1,4,7,0,1,1,191,215,2,38,1,0,0
35,1,0,0,0,0,0,0,0,380,191,0,38,0,0,0
34,1,0,0,0,0,0,0,0,453,204,0,18,0,1,0
31,0,0,0,0,0,0,0,0,177,249,0,10,0,0,0
37,1,0,1,4,0,0,1,2,268,63,3,15,4,0,0
31,1,0,0,0,0,0,0,0,303,189,0,27,0,0,0
32,1,0,0,0,0,0,0,0,334,124,0,9,0,3,0
32,0,0,0,0,0,0,0,0,1464,840,0,8,0,0,0
33,1,0,0,0,0,0,0,0,738,469,0,17,0,0,0
36,1,0,0,0,0,0,0,0,102,44,0,11,0,8,0
41,1,0,1,0,2,5,1,1,184,36,5,2,1,0,0
33,1,0,1,4,0,17,1,1,157,19,1,3,1,0,0
35,0,0,0,0,0,0,0,0,411,1504,0,131,0,0,0
36,1,0,0,0,0,0,0,0,193,275,0,143,0,0,0
32,1,0,0,0,0,0,0,0,377,173,0,8,0,0,0
32,0,0,0,0,0,0,0,0,537,1651,0,74,0,0,0
31,1,0,1,4,3,0,1,1,366,513,1,95,1,0,0
34,0,0,0,0,0,0,0,0,138,82,0,11,0,0,0
36,1,0,0,0,0,0,0,0,237,237,0,24,0,2,0
35,1,0,0,0,0,0,0,0,181,62,0,8,0,0,0
36,1,0,1,4,0,0,1,1,217,155,1,52,1,0,0
0,0,0,0,0,0,0,0,0,193,210,0,54,0,0,1
35,1,0,0,0,0,0,0,0,250,41,0,4,0,0,0
40,1,0,0,0,0,0,0,0,292,135,0,40,0,0,0
35,1,0,0,0,0,0,0,0,189,90,0,7,0,0,0
33,0,0,0,0,0,0,0,0,214,397,0,20,0,0,0
35,0,0,1,1,0,0,1,1,81,90,1,2,1,0,0
0,0,0,0,0,0,0,0,0,183,463,0,46,0,0,1
32,0,0,0,0,0,0,0,0,139,335,0,66,0,0,0
34,1,0,0,0,0,0,0,0,193,201,0,41,0,0,0
36,0,0,1,0,2,0,1,1,1983,2024,1,34,1,2,0
0,1,0,0,0,0,0,0,0,217,99,0,8,0,0,1
34,1,0,1,4,3,31,3,1,174,72,10,21,7,1,0
33,1,0,1,1,3,0,1,1,217,144,1,6,1,0,0
33,0,0,1,4,1,0,1,1,472,462,1,28,1,8,0
35,1,0,1,0,7,15,4,1,349,250,4,37,2,7,0
31,0,0,0,0,0,0,0,0,153,198,0,18,0,0,0
0,1,0,0,0,0,0,0,0,536,102,0,16,0,0,1
35,0,0,0,0,0,0,0,0,196,52,0,0,0,0,0
37,1,0,0,0,0,0,0,0,245,62,0,19,0,0,0
32,1,0,1,1,1,0,1,1,207,84,1,28,1,0,0
0,0,0,1,0,0,0,1,1,5142,1305,1,193,1,1,1
31,0,0,0,0,0,0,0,0,344,224,0,19,0,0,0
37,1,0,0,0,0,0,0,0,289,83,0,72,0,1,0
34,1,0,0,0,0,0,0,0,230,117,0,2,0,0,0
33,1,0,0,0,0,0,0,0,21,797,0,9,0,0,0
42,1,0,1,4,0,0,1,17,73,33,26,2,13,0,0
34,1,0,1,1,0,0,1,1,70,178,1,18,1,0,0
33,1,0,0,0,0,0,0,0,147,570,0,31,0,18,0
35,1,0,0,0,0,0,0,0,183,78,0,29,0,0,0
31,1,0,0,0,0,0,0,0,247,104,0,9,0,0,0
41,1,0,1,1,0,1,1,1,190,24,1,7,1,0,0
32,0,0,0,0,0,0,0,0,538,1176,0,47,0,5,0
33,0,0,0,0,0,0,0,0,406,452,0,19,0,0,0
33,1,0,0,0,0,0,0,0,228,174,0,25,0,0,0
31,0,0,1,4,5,109,1,1,234,347,1,32,1,0,0
33,1,0,1,4,0,9,1,4,119,402,3,80,17,0,0
33,1,0,0,0,0,0,0,0,750,232,0,6,0,0,0
34,1,0,0,0,0,0,0,0,880,284,0,6,0,0,0
37,0,0,1,4,3,0,1,1,185,259,1,35,1,0,0
32,1,0,0,0,0,0,0,0,518,225,0,12,0,4,0
35,1,0,0,0,0,0,0,0,57,7,0,0,0,0,0
29,0,0,0,0,0,0,0,0,562,695,0,16,0,2,0
31,1,0,1,0,2,14,1,1,119,85,1,11,1,0,0
32,1,0,0,0,0,0,0,0,129,461,0,14,0,18,0
31,0,0,1,4,0,0,2,1,462,399,1,76,1,8,0
32,1,0,0,0,0,0,0,0,42,48,0,37,0,0,0
35,1,0,0,0,0,0,0,0,179,107,0,13,0,3,0
38,1,0,1,4,1,0,1,1,368,381,1,91,1,0,0
31,1,0,0,0,0,0,0,0,169,1208,0,22,0,0,0
31,0,0,0,0,0,0,0,0,166,465,0,76,0,0,0
32,1,0,1,4,5,7,1,1,160,142,1,22,1,0,0
34,0,0,0,0,0,0,0,0,217,370,0,46,0,0,0
33,0,0,0,0,0,0,0,0,963,594,0,53,0,1,0
0,0,0,0,0,0,0,0,0,337,486,0,90,0,0,1
0,1,0,1,4,2,1,1,1,450,195,1,63,1,5,1
0,0,0,1,0,0,0,1,1,197,136,1,1,1,0,1
0,0,0,0,0,0,0,0,0,269,495,0,59,0,0,1
